scheme_name,benefits,level,category,tags,combined
"Financial Assistance To Disabled Students Pursuing 10th, 11th, 12th Equivalent Exams",Sl. No. Class/Course Course Fee Assistance Exam Fee Assistance Registration Fee Assistance Admission Fee Assistance 1SSLC/10th Class 1750/- 500/- 100/---211th Class 1950/- 700/- 100/,State,Social welfare Empowerment,"APL,  BPL,  Disabled,  Financial Assistance,  PwD,  Student","Financial Assistance To Disabled Students Pursuing 10th, 11th, 12th Equivalent Exams Sl. No. Class/Course Course Fee Assistance Exam Fee Assistance Registration Fee Assistance Admission Fee Assistance 1SSLC/10th Class 1750/- 500/- 100/---211th Class 1950/- 700/- 100/ Social welfare Empowerment APL,  BPL,  Disabled,  Financial Assistance,  PwD,  Student"
Food Bill Assistance to SC Students,"- The food bill assistance 1,500/- per month Up to 10 Months will be granted to the Scheduled Caste SC students admitted in college affiliated host",State/ UT,"Education Learning, Social welfare Empowerment","Financial Assistance,  Food Bill,  Hostel,  SC,  Student","Food Bill Assistance to SC Students - The food bill assistance 1,500/- per month Up to 10 Months will be granted to the Scheduled Caste SC students admitted in college affiliated host Education Learning, Social welfare Empowerment Financial Assistance,  Food Bill,  Hostel,  SC,  Student"
"Financial Assistance to SC Students Studying in Medical, Engineering and Diploma Course for Purchasing Educational Instrument","Scholarship rate per student - For Medical Student 10,000/- - For Engineering Student 8,000/- - For Diploma Student 3,000/- Note The assistance shall be given in the",State/ UT,Education Learning,"Diploma,  Educational Instrument,  Engineering,  Financial Assistance,  Medical,  SC,  Student","Financial Assistance to SC Students Studying in Medical, Engineering and Diploma Course for Purchasing Educational Instrument Scholarship rate per student - For Medical Student 10,000/- - For Engineering Student 8,000/- - For Diploma Student 3,000/- Note The assistance shall be given in the Education Learning Diploma,  Educational Instrument,  Engineering,  Financial Assistance,  Medical,  SC,  Student"
Scheme of Giving Awards to Eminent Artists - Kalai Valarmani Award,"- Financial Assistance of 6,000/-. - Certificate of Appreciation. - A shawl worth 500/-. - 5 eminent artists are awarded e",State/ UT,Skills Employment,"Artists,  Award,  Culture,  Financial Assistance","Scheme of Giving Awards to Eminent Artists - Kalai Valarmani Award - Financial Assistance of 6,000/-. - Certificate of Appreciation. - A shawl worth 500/-. - 5 eminent artists are awarded e Skills Employment Artists,  Award,  Culture,  Financial Assistance"
Mukhyamantri Mahila Poshan Yojana,- Egg 2 Days/Week . - Dates 2 Days/Week . Note Dates are provided to those registered pregnant/lactating women who do not take eggs.,State/ UT,"Social welfare Empowerment, Women and Child, Health Wellness","Health,  Lactating Women,  Nutrition,  Pregnant Women","Mukhyamantri Mahila Poshan Yojana - Egg 2 Days/Week . - Dates 2 Days/Week . Note Dates are provided to those registered pregnant/lactating women who do not take eggs. Social welfare Empowerment, Women and Child, Health Wellness Health,  Lactating Women,  Nutrition,  Pregnant Women"
Mukhyamantri Mahalaxmi Kit Yojana,"- For Mothers Dry fruits, socks, scarp towels, shawls, blankets, bedsheets, sanitary pads, mustard oil, soap, nail cutters etc- For the girl child Cotton/warm cap, sock, loincloth, towel, baby soap, rubber sheet, warm blanket, vaccination card etc. Note Each kit will be provided to the mother and their first two girl children. For twins, both daughters and their mother will get one kit.",State/ UT,Health Wellness,"Girl Child,  Health,  Mother,  Nutrition,  Women","Mukhyamantri Mahalaxmi Kit Yojana - For Mothers Dry fruits, socks, scarp towels, shawls, blankets, bedsheets, sanitary pads, mustard oil, soap, nail cutters etc- For the girl child Cotton/warm cap, sock, loincloth, towel, baby soap, rubber sheet, warm blanket, vaccination card etc. Note Each kit will be provided to the mother and their first two girl children. For twins, both daughters and their mother will get one kit. Health Wellness Girl Child,  Health,  Mother,  Nutrition,  Women"
Scheme of Extending Financial Assistance to New Drama Productions,"Financial Assistance of upto 20,000/-, based on the quality and sceneries of the social, historical, mythological, dramas selected by the expert committee, Number of Instalments The financial assistance is provided in four instalments - 30 as the first instalment, given after the selection of the drama by the expert committee. - 40 as the second instalment, provided three days before the conduct of the drama. - 20 as the third instalment, released on the day when the drama is staged. - 10 as the fourth instalment, disbursed after receiving the utilization certificate and certification from the Chartered Accountant. The Mandram will bear the expenses towards the rent for the auditorium, sound and light, advertisement and invitation. The expenses relating to the rehearsal of drama, remuneration to the actors, scenes and settings, etc., have to be borne by the drama institution receiving financial assist",State/ UT,"Skills Employment, Sports Culture","Artist,  Drama,  Financial Assistance,  Production,  Troupes","Scheme of Extending Financial Assistance to New Drama Productions Financial Assistance of upto 20,000/-, based on the quality and sceneries of the social, historical, mythological, dramas selected by the expert committee, Number of Instalments The financial assistance is provided in four instalments - 30 as the first instalment, given after the selection of the drama by the expert committee. - 40 as the second instalment, provided three days before the conduct of the drama. - 20 as the third instalment, released on the day when the drama is staged. - 10 as the fourth instalment, disbursed after receiving the utilization certificate and certification from the Chartered Accountant. The Mandram will bear the expenses towards the rent for the auditorium, sound and light, advertisement and invitation. The expenses relating to the rehearsal of drama, remuneration to the actors, scenes and settings, etc., have to be borne by the drama institution receiving financial assist Skills Employment, Sports Culture Artist,  Drama,  Financial Assistance,  Production,  Troupes"
Sanitary Napkin Scheme,- Sanitary napkins are distributed to adolescent girls/women at 6/-.,State/ UT,"Health Wellness, Social welfare Empowerment","Girls,  Health,  Sanitary Pad","Sanitary Napkin Scheme - Sanitary napkins are distributed to adolescent girls/women at 6/-. Health Wellness, Social welfare Empowerment Girls,  Health,  Sanitary Pad"
Kam Lagat Pyaaj Bhandaran Sanrachna,"- Onion storage structure 25 Metric Ton capacity 50 unit cost subsidy, max grant 87,50",State/ UT,"Agriculture,Rural Environment","Agriculture,  Farmer,  Farming,  Vegetables","Kam Lagat Pyaaj Bhandaran Sanrachna - Onion storage structure 25 Metric Ton capacity 50 unit cost subsidy, max grant 87,50 Agriculture,Rural Environment Agriculture,  Farmer,  Farming,  Vegetables"
Drip Sanyantr,"1. 70 subsidy is given to general farmers and 75 subsidy is given to small, marginal Scheduled Caste, Scheduled Tribe, and women farmers. 1. All categories of farmers are given subsidies on drip plants up to a maximum area of 5 hectares.",State/ UT,"Agriculture,Rural Environment","Agriculture,  Drip Sanyantr,  Farmer,  Farming","Drip Sanyantr 1. 70 subsidy is given to general farmers and 75 subsidy is given to small, marginal Scheduled Caste, Scheduled Tribe, and women farmers. 1. All categories of farmers are given subsidies on drip plants up to a maximum area of 5 hectares. Agriculture,Rural Environment Agriculture,  Drip Sanyantr,  Farmer,  Farming"
